Time_Frame,Low,High,Last,Weight_Avg,ID_Full,ID1,ID3,Buy_Volume,Sell_Volume,Volume,Date
00:00 - 00:15,100.12,163.49,111.00,133.02,133.02,132.61,136.14,386.4,345.7,366.1,2025-02-03
00:15 - 00:30,90.11,187.98,130.00,128.08,128.08,124.98,132.03,349.1,232.8,291.0,2025-02-03
00:30 - 00:45,96.01,139.57,122.50,122.62,122.62,122.62,122.97,309.0,287.0,298.0,2025-02-03
00:45 - 01:00,4.50,157.78,79.05,111.08,111.08,112.42,111.15,506.1,507.0,506.6,2025-02-03
01:00 - 01:15,79.49,164.28,83.90,135.48,135.48,142.57,142.25,387.1,316.1,351.6,2025-02-03
01:15 - 01:30,85.88,149.63,90.01,127.49,127.49,134.13,131.08,294.5,251.4,273.0,2025-02-03
01:30 - 01:45,80.23,149.31,100.70,121.03,121.03,121.31,123.77,328.1,314.1,321.1,2025-02-03
01:45 - 02:00,81.38,125.63,121.50,111.71,111.71,107.45,111.53,458.0,513.6,485.8,2025-02-03
02:00 - 02:15,125.72,218.40,149.00,138.49,138.49,137.99,137.31,302.8,300.8,301.8,2025-02-03
02:15 - 02:30,94.17,143.99,125.36,124.20,124.20,117.90,123.58,271.4,258.9,265.2,2025-02-03
02:30 - 02:45,101.21,192.08,135.30,121.50,121.50,117.11,117.94,345.3,333.9,339.6,2025-02-03
02:45 - 03:00,79.98,141.59,117.30,112.36,112.36,113.76,111.37,523.1,465.8,494.5,2025-02-03
03:00 - 03:15,78.60,148.96,78.60,120.73,120.73,129.29,126.98,316.9,339.3,328.1,2025-02-03
03:15 - 03:30,28.35,130.00,89.00,110.89,110.89,108.96,116.32,331.8,346.8,339.3,2025-02-03
03:30 - 03:45,78.61,138.33,100.60,107.42,107.42,95.45,107.17,383.1,428.1,405.6,2025-02-03
03:45 - 04:00,78.51,138.47,109.00,103.87,103.87,90.59,102.20,452.2,499.9,476.1,2025-02-03
04:00 - 04:15,76.32,137.48,115.00,113.07,113.07,108.77,113.48,417.0,439.4,428.2,2025-02-03
04:15 - 04:30,61.01,136.89,121.70,113.35,113.35,106.86,111.70,395.8,415.7,405.8,2025-02-03
04:30 - 04:45,69.99,144.69,69.99,111.47,111.47,109.41,110.61,402.4,460.3,431.4,2025-02-03
04:45 - 05:00,74.18,147.01,80.00,115.05,115.05,116.17,113.46,502.8,522.2,512.5,2025-02-03
05:00 - 05:15,67.20,123.18,94.00,107.09,107.09,100.48,105.24,554.5,644.4,599.5,2025-02-03
05:15 - 05:30,27.30,127.96,91.60,105.27,105.27,98.09,105.01,481.8,591.3,536.6,2025-02-03
05:30 - 05:45,86.67,147.35,126.49,116.15,116.15,109.56,113.91,465.5,570.3,517.9,2025-02-03
05:45 - 06:00,23.81,161.56,93.40,115.78,115.78,110.61,112.25,678.0,713.5,695.8,2025-02-03
06:00 - 06:15,57.90,142.29,109.17,126.29,126.29,124.31,129.29,694.3,695.8,695.1,2025-02-03
06:15 - 06:30,40.58,173.70,117.01,124.75,124.75,122.03,121.79,528.2,563.0,545.6,2025-02-03
06:30 - 06:45,-113.43,186.69,123.50,154.12,154.12,147.15,151.15,532.8,514.8,523.8,2025-02-03
06:45 - 07:00,96.00,256.68,145.00,172.60,172.60,187.53,175.69,919.2,941.5,930.4,2025-02-03
07:00 - 07:15,102.81,364.00,130.20,159.12,159.12,157.78,157.43,547.6,579.6,563.6,2025-02-03
07:15 - 07:30,121.81,218.98,177.70,165.00,165.00,157.32,161.78,552.3,518.1,535.2,2025-02-03
07:30 - 07:45,56.30,800.00,219.40,196.50,196.50,167.18,175.96,568.8,629.8,599.3,2025-02-03
07:45 - 08:00,153.83,275.73,255.99,229.18,229.18,209.08,218.68,856.5,897.6,877.1,2025-02-03
08:00 - 08:15,211.97,800.00,364.00,331.26,331.26,326.57,344.53,606.2,693.7,650.0,2025-02-03
08:15 - 08:30,189.89,970.03,353.99,270.88,270.88,272.91,266.91,807.0,871.3,839.2,2025-02-03
08:30 - 08:45,160.50,333.26,285.01,241.36,241.36,242.20,231.18,759.2,830.3,794.8,2025-02-03
08:45 - 09:00,151.60,304.57,245.00,198.17,198.17,201.32,186.40,786.4,791.1,788.8,2025-02-03
09:00 - 09:15,166.63,1411.62,235.00,244.56,244.56,268.66,239.81,1029.9,1100.4,1065.2,2025-02-03
09:15 - 09:30,88.31,220.49,165.40,178.08,178.08,184.78,177.72,824.9,830.1,827.5,2025-02-03
09:30 - 09:45,112.51,191.81,124.02,150.49,150.49,167.31,153.15,978.8,1000.8,989.8,2025-02-03
09:45 - 10:00,77.03,194.22,126.95,139.94,139.94,144.22,143.87,1235.2,1330.0,1282.6,2025-02-03
10:00 - 10:15,98.00,232.50,129.27,182.82,182.82,172.93,192.57,1137.0,1179.6,1158.3,2025-02-03
10:15 - 10:30,110.01,231.17,170.00,149.61,149.61,135.04,149.97,933.5,826.1,879.8,2025-02-03
10:30 - 10:45,102.60,243.20,206.69,136.09,136.09,114.96,123.87,1359.5,1228.3,1293.9,2025-02-03
10:45 - 11:00,110.23,178.94,140.66,126.51,126.51,120.48,120.05,1513.9,1492.2,1503.1,2025-02-03
11:00 - 11:15,129.25,923.07,185.49,154.45,154.45,159.90,152.16,1126.0,1150.0,1138.0,2025-02-03
11:15 - 11:30,-99.42,187.99,180.00,142.72,142.72,152.55,138.86,954.0,936.0,945.0,2025-02-03
11:30 - 11:45,115.10,294.59,199.63,138.42,138.42,149.62,133.63,996.8,1000.2,998.5,2025-02-03
11:45 - 12:00,105.94,279.15,181.10,128.92,128.92,125.73,122.44,1264.8,1246.5,1255.7,2025-02-03
12:00 - 12:15,116.83,213.53,133.00,150.15,150.15,163.53,148.09,965.8,948.3,957.1,2025-02-03
12:15 - 12:30,79.51,177.90,150.00,137.04,137.04,153.58,139.87,925.0,862.9,894.0,2025-02-03
12:30 - 12:45,68.23,196.79,196.79,131.58,131.58,146.79,132.79,1113.2,1066.0,1089.6,2025-02-03
12:45 - 13:00,85.71,175.17,123.00,125.69,125.69,132.53,129.22,1189.3,1193.4,1191.4,2025-02-03
13:00 - 13:15,103.83,255.47,145.00,127.04,127.04,129.66,129.80,1044.9,1028.6,1036.8,2025-02-03
13:15 - 13:30,78.40,245.67,112.17,128.01,128.01,129.26,129.76,892.4,901.9,897.2,2025-02-03
13:30 - 13:45,79.20,160.03,112.17,125.97,125.97,133.31,128.93,1011.6,1068.2,1039.9,2025-02-03
13:45 - 14:00,92.00,352.66,95.01,126.37,126.37,131.11,131.51,1197.5,1250.2,1223.9,2025-02-03
14:00 - 14:15,80.00,138.88,135.30,115.30,115.30,123.82,120.16,1344.1,1211.7,1277.9,2025-02-03
14:15 - 14:30,101.00,147.42,113.40,125.76,125.76,126.52,129.20,1077.1,971.4,1024.3,2025-02-03
14:30 - 14:45,117.62,179.51,141.60,140.18,140.18,133.20,140.48,919.9,978.3,949.1,2025-02-03
14:45 - 15:00,130.00,192.80,166.80,153.05,153.05,144.29,152.27,1006.1,1171.2,1088.7,2025-02-03
15:00 - 15:15,105.69,149.70,123.85,121.89,121.89,121.69,124.63,953.1,1002.5,977.8,2025-02-03
15:15 - 15:30,101.19,415.80,124.65,132.01,132.01,124.65,131.45,832.8,821.7,827.3,2025-02-03
15:30 - 15:45,135.44,192.54,150.00,154.55,154.55,153.14,152.91,711.0,785.7,748.4,2025-02-03
15:45 - 16:00,157.64,226.98,193.00,174.30,174.30,176.73,169.18,990.8,1026.2,1008.5,2025-02-03
16:00 - 16:15,121.63,184.13,147.01,136.66,136.66,144.72,137.05,776.6,858.3,817.5,2025-02-03
16:15 - 16:30,137.92,178.63,172.00,158.37,158.37,168.82,157.46,705.2,675.4,690.3,2025-02-03
16:30 - 16:45,158.61,500.00,169.21,170.91,170.91,170.60,167.48,676.5,581.0,628.8,2025-02-03
16:45 - 17:00,162.97,262.45,175.30,188.77,188.77,184.16,185.22,869.9,869.2,869.6,2025-02-03
17:00 - 17:15,97.50,212.40,112.17,159.53,159.53,169.46,160.24,518.4,547.1,532.8,2025-02-03
17:15 - 17:30,96.75,212.39,133.90,164.55,164.55,166.58,165.47,456.0,479.4,467.7,2025-02-03
17:30 - 17:45,131.00,258.67,145.20,184.69,184.69,180.89,189.32,714.3,782.1,748.2,2025-02-03
17:45 - 18:00,138.61,324.72,150.10,199.41,199.41,179.42,198.37,877.8,958.1,918.0,2025-02-03
18:00 - 18:15,119.54,264.60,151.30,186.12,186.12,180.70,187.52,445.1,528.8,487.0,2025-02-03
18:15 - 18:30,149.90,222.73,180.00,180.33,180.33,168.85,178.12,459.5,498.7,479.1,2025-02-03
18:30 - 18:45,160.79,300.73,201.39,193.97,193.97,167.52,179.63,607.1,699.9,653.5,2025-02-03
18:45 - 19:00,150.20,270.21,200.00,188.20,188.20,188.32,178.82,654.1,681.3,667.7,2025-02-03
19:00 - 19:15,191.96,916.71,358.00,280.84,280.84,330.05,241.22,798.5,1102.7,950.6,2025-02-03
19:15 - 19:30,150.11,343.53,175.90,207.02,207.02,231.65,207.68,678.5,854.6,766.6,2025-02-03
19:30 - 19:45,145.00,257.78,177.33,180.93,180.93,209.15,184.70,720.3,686.8,703.6,2025-02-03
19:45 - 20:00,130.81,215.74,170.00,168.92,168.92,178.76,172.84,875.4,704.1,789.8,2025-02-03
20:00 - 20:15,129.80,228.00,155.00,180.61,180.61,184.77,185.06,797.2,877.6,837.4,2025-02-03
20:15 - 20:30,127.42,189.43,149.50,164.15,164.15,162.50,166.61,506.0,552.4,529.2,2025-02-03
20:30 - 20:45,137.57,173.10,162.69,154.36,154.36,161.95,156.06,498.3,549.0,523.7,2025-02-03
20:45 - 21:00,124.39,167.89,154.95,147.73,147.73,150.22,149.62,771.1,764.1,767.6,2025-02-03
21:00 - 21:15,124.30,182.47,152.60,164.98,164.98,160.39,167.54,555.9,541.3,548.6,2025-02-03
21:15 - 21:30,133.40,183.08,160.00,152.61,152.61,146.73,155.83,531.3,535.8,533.6,2025-02-03
21:30 - 21:45,117.88,155.31,137.43,138.97,138.97,126.44,138.50,597.1,490.3,543.7,2025-02-03
21:45 - 22:00,87.42,152.00,117.31,124.02,124.02,119.00,121.82,827.5,667.9,747.7,2025-02-03
22:00 - 22:15,115.52,182.72,125.56,152.93,152.93,165.52,152.61,607.9,438.3,523.1,2025-02-03
22:15 - 22:30,109.37,222.90,116.10,139.27,139.27,145.36,141.44,439.5,362.9,401.2,2025-02-03
22:30 - 22:45,90.51,163.30,135.00,145.55,145.55,142.62,149.00,407.6,480.9,444.3,2025-02-03
22:45 - 23:00,113.86,161.50,135.00,140.00,140.00,129.42,143.38,478.7,610.3,544.5,2025-02-03
23:00 - 23:15,110.40,159.99,120.00,139.73,139.73,138.32,140.51,462.0,400.3,431.2,2025-02-03
23:15 - 23:30,98.01,157.12,134.97,136.08,136.08,140.29,142.76,408.8,391.5,400.2,2025-02-03
23:30 - 23:45,79.30,148.00,122.17,132.05,132.05,132.06,137.21,448.7,424.9,436.8,2025-02-03
23:45 - 24:00,101.12,134.14,111.75,122.15,122.15,118.68,122.60,654.1,688.2,671.2,2025-02-03
